job name,company name,workarea,salary,update time
初级数据专员(CNABS),上海联和金融信息服务有限公司,上海-黄浦区,6-8千/月,2021-04-23 09:23:37
数据工程师实习生,上海稳博投资管理有限公司,上海-浦东新区,200元/天,2021-04-23 09:11:13
大数据分析师（实习）,上海吉贝克信息技术有限公司,上海,200元/天,2021-04-23 08:50:33
助理,北京中京华建联会计师事务所有限公司,北京-海淀区,4.5-6千/月,2021-04-23 07:00:01
python/R工程师（自然语言方向）,上海柯林布瑞信息技术有限公司,上海-徐汇区,0.5-1万/月,2021-04-22 18:07:40
数据分析工程师（实习）,上海迈科金属资源有限公司,上海-浦东新区,2-3千/月,2021-04-22 15:48:22
两轮-实习生-江城(J14571),哈啰出行（哈罗单车hellobike）,上海-闵行区,2-3千/月,2021-04-22 15:09:07
22届数据分析实习生(J14766),哈啰出行（哈罗单车hellobike）,上海-闵行区,4.5-6千/月,2021-04-22 15:08:54
Graduate Business Intelligence/Data Analyst,菲缔信息科技（上海）有限公司,异地招聘,1-1.5万/月,2021-04-22 15:05:31
PLM Administrator/PLM管理员,中微半导体设备（上海）股份有限公司,上海,0.8-1.5万/月,2021-04-22 13:17:29
实习生  （互联网数据分析师助理实习生）,杭州数行科技有限公司,上海-黄浦区,1-2千/月,2021-04-22 13:06:33
数据分析岗实习生（编程方向）,上海泾溪投资管理合伙企业（有限合伙）,上海-浦东新区,100元/天,2021-04-22 11:14:55
深度学习算法实习生,上海影创信息科技有限公司,北京-海淀区,300元/天,2021-04-22 09:43:28
数据内容设计,东方财富信息股份有限公司,上海-徐汇区,1-1.5万/月,2021-04-22 09:19:39
数据分析实习,上海拉曼资产管理中心（有限合伙）,上海-浦东新区,50元/天,2021-04-22 09:09:34
2021春招-数据挖掘/机器学习算法工程师,作业帮教育科技（北京）有限公司,北京-海淀区,2.5-3万/月,2021-04-21 19:14:22
医学图像处理,赛诺联合医疗科技（北京）有限公司,北京-海淀区,0.6-1万/月,2021-04-21 17:47:24
数据分析实习生-上海,酷家乐,上海-浦东新区,4-5千/月,2021-04-21 16:58:52
生物信息工程师,上海浦东解码生命科学研究院,上海-徐汇区,0.8-1.3万/月,2021-04-21 14:12:55
数据分析（2021届校招）,大金空调（上海）有限公司,上海,8-10万/年,2021-04-21 11:07:17
AI实习生(J10285),大唐移动通信设备有限公司,北京-海淀区,3-4.5千/月,2021-04-21 10:00:52
机器学习工程师,上海云深网络技术有限公司,上海-浦东新区,0.9-1.4万/月,2021-04-20 16:39:28
电商推广资深专员,GroupM群邑（上海）广告有限公司,北京-东城区,6-8千/月,2021-04-20 15:39:02
电商数据分析师,GroupM群邑（上海）广告有限公司,北京-东城区,6-8千/月,2021-04-20 15:39:01
数据分析师,兴业数字金融服务（上海）股份有限公司,上海-浦东新区,2-2.5万/月,2021-04-20 14:42:12
算法工程师,法孚斯坦因冶金技术（上海）有限公司,上海,10-15万/年,2021-04-20 09:56:40
数据分析类管培生,上海韵达货运有限公司,上海-青浦区,0.6-1万/月,2021-04-20 08:44:51
应届生招聘-客户专员(数据分析方向),美世咨询（中国）有限公司Mercer Consulting (China)Ltd.,北京-朝阳区,9-9.5千/月,2021-04-20 04:01:25
数据分析实习生,上海趵朴投资管理有限公司,上海-浦东新区,100元/天,2021-04-19 16:32:02
数据分析实习生,埃提斯生物技术（上海）有限公司,上海,150元/天,2021-04-19 16:30:38
